playername,elo
GodLike,1898.002325507201
Mikyx,1897.7203357227097
Leo,1897.589289513684
Ale,1897.5118175537905
Crown,1897.272421593856
ppgod,1896.664203079605
Cube,1896.638250644041
Wisdomz,1896.0878643873648
LvMao,1895.012584036644
Dyrus,1894.955355851892
Yutapon,1894.8076286490736
Zz1tai,1894.7215132783872
Ellim,1893.937174967361
Karin,1893.560373850482
Space,1893.3679184151133
River,1893.2684596627412
Snowbao,1892.9381213453532
Xiyang,1892.3857896203767
Peng,1892.3857329836044
Vizicsacsi,1891.7657278471188
CJJ,1891.5770793659408
Cola,1891.2609343849888
unicorn,1891.113750649303
Medzz,1890.9683726339656
Fixer,1890.942790247012
Zoom,1890.67633905679
Solo,1890.6242322495264
Yeon,1890.122144264119
Loong,1889.945099487597
Expession,1889.8353311244168
Evi,1889.5513842940893
Jinoo,1889.1767948601955
haoye,1888.866787717252
Sky,1888.6181777991987
Mystic,1888.4079598950696
jojopyun,1888.2054458573853
SoHwan,1888.0916923616544
Punch,1888.085078472428
xiye,1887.6973047383117
BalIs,1887.5445725721615
Kael,1887.3822134881843
Tank,1887.103744342533
OnFleek,1887.0179349933592
Aodi,1886.285037491079
Ryu,1886.2832435394732
PvPStejos,1885.870059128864
Upset,1885.316961787796
Odoamne,1884.9670092542224
705,1884.2840427384997
Prince,1884.1479733760225
Str1fe,1883.7919163566312
Clongwen,1883.699236474308
Jinjiao,1883.273431191668
Xx,1882.873689625326
Aiming,1882.8030388107973
Heng,1882.1564933232728
Korol,1881.9705745203703
Raes,1881.2774301004124
Watch,1881.1220880262847
Aix,1880.95766111596
l3est16,1880.7450159344917
GBM,1880.681938498013
Alphari,1880.601144894552
Cryin,1880.5924977333864
Adrian,1880.5733050073616
Lustboy,1880.569811843088
Fly,1880.557891782409
pinz,1880.436305256772
Kiin,1880.4348766218616
Keane,1880.3406171224303
Tabby,1880.1988381953636
Vasilii,1880.136432474676
Lens,1879.8174096318169
Santorin,1879.8035366789584
Levi,1879.620375009218
V,1879.5125959011584
Zhuo,1879.363758499086
Ray,1879.2395657082443
huhi,1878.8038497751245
Hang,1878.7448882772424
XUN,1878.7288032682452
sOAZ,1878.0029048329343
JieZou,1877.502648268805
Hawk,1877.257352429571
Danny,1876.853923573756
yueyueyue,1876.639694135408
Rise,1876.1666956742704
Arrow,1875.8058437063355
imp,1875.6958409108493
Harp,1875.0258259243813
Twila,1874.934701331733
Adam,1874.9154166120352
Humanoid,1874.886409858045
Kingen,1874.814090863684
Cepted,1874.6467589514684
Redempts,1874.6447946546732
Dove,1874.1667237672727
Razork,1873.688040231105
1xn,1873.6601106307749
Stanley,1873.1012440920847
ADD,1872.8654628211275
Clever9,1872.5748030695636
Fenfen,1872.1084069992492
Sangyoon,1871.810814196564
Untara,1871.645503083898
Flame,1871.5338430975255
Test Mid,1871.0964024468324
Xingye,1870.822570687077
Nuclear,1870.8178718321024
ucal,1870.5769082461295
risdrengen,1870.040153179324
Larssen,1869.9106868338256
Thaldrin,1869.486007324136
Toyz,1869.3224795136096
GodV,1869.0943916560227
REFRA1N,1868.6610688123355
Armut,1868.4034250722664
FORG1VEN,1868.3193331210848
Bay,1868.298751528446
Mylon,1868.110830166692
Steal,1867.940418327804
Smlz,1867.7741967930424
Wraith,1867.7505825140129
Thal,1867.445591387424
XiaT,1867.1705619816075
WildTurtle,1867.12278196459
bingqing,1867.1064920279389
Jactroll,1866.8680806444704
KaKAO,1866.7934614460376
Dhokla,1866.59504607781
iBo,1866.5734110419176
Donny,1866.382167451829
Iwandy,1866.2952169081243
BrokenBlade,1866.1923072380116
Teacherma,1866.183568910835
Emperor,1866.0529042526791
HaeSeong,1865.557615637312
Ziv,1865.49562650092
Bvoy,1864.9922412810215
Zeitnot,1864.7313591089733
KT,1864.7233244185416
GuYueXin,1864.696154605892
Hylissang,1864.528627296464
Carzzy,1864.5255130613816
trilan,1864.2279456470108
Muyi,1864.10570869287
Willer,1864.0964628778856
Shunn,1863.9234762202047
kRYST4L,1863.8042552580623
Hunter,1863.4072511928648
GankZero,1863.3306472378597
Shanks,1863.144718940024
Yu,1862.6660191060507
Soul,1862.6514788281568
Elk,1862.4553506052368
Rush,1862.4187948343008
Stomaged,1862.344704692535
AOS,1862.334014418444
ikssu,1862.0930553682576
Kati,1861.9502098364949
Jiizuke,1861.667741618503
Kold,1861.5796842041648
Abbedagge,1861.4612503792243
PK,1861.377013366282
Ke,1861.346804514509
can,1861.098933104745
Kramer,1860.9762488531103
Mole,1860.8095373974784
Coco,1860.4932219288285
Solokill,1860.476226288218
Ancrath,1860.3347476664064
HOYA,1860.3219085717576
Y1han,1860.278872633328
