playerid,elo
oe:player:d55620130ce20b8cb9a504b6b16f7a1,1936.1031581133952
oe:player:9a6cd3908f25d13fc18a3f5adfd3d50,1959.001168036527
oe:player:c2c169d79a6762334d43bc365ab401a,2003.5784059015157
oe:player:ed551dce192327346be794c8b312186,2106.9779702489386
oe:player:4252b72e6ebcd4d4b4c2e46a786f03d,1964.880050987573
oe:player:3f7e5fe2a3074da1a836da8a63e8b49,1909.9974922788783
oe:player:4f659c0ac477add1decb9104c0e85d1,1958.036198432167
oe:player:b93c3d9029fa42815abf0551db0cec9,1992.0410784164612
oe:player:3f8edf0478b9bcbdaad6290e156d6fd,1958.917819697193
oe:player:c0ed8c30142b8a4a6a6e59aab3d8a59,1953.3497755026474
oe:player:301c39e207b653e1034144ee16c077f,1922.8018123624988
oe:player:494fc60dffbb5da1caa2226baef0ec7,1959.0501508828745
oe:player:cfea3eab87c55ec70cd864aa8a1574c,2009.9769405448137
oe:player:56ea0abd8f3b8270af16114112248e9,1876.4930509024343
oe:player:fcbed50c7b8cfa6dc5f1576b87e816f,1946.9101879841155
oe:player:cf927db4524390111a8ff429febe376,1966.464329018092
oe:player:ce76a8fc639b0cc96da48c76bc0bbeb,2012.258110558086
oe:player:6059545b206c4b230b97fd3651b473a,2040.2820196596454
oe:player:61dddfe82dcb836daf55132bc47a10f,2036.0801398583676
oe:player:098e5fcb64515732869947191bc0527,2027.5775727977857
oe:player:b85815d04cec053ce6deb8021f2df1b,2064.6105059514007
oe:player:ac03a84bd2e4530bac0b8e0d5343b9a,1965.4308096103423
oe:player:f145e2e3750127af2d45fbcffabaac3,1910.715118204196
oe:player:e59e91c17b806ec83b9cbc1f02ba0d9,1785.8913863397497
oe:player:4bcea1d16badec539c3b3fcba74c3ad,1678.1840684212023
oe:player:ffa517265932cce4cb23a0a9100b52b,1969.4168171056654
oe:player:9bb8875f9d6491cc32951e5bf355db7,2098.6639556860127
oe:player:15b314a12fd4565bc9129fdc95fa842,2047.1239642703788
oe:player:9b22cace0315e520c50f1b8f8ac434c,2057.3442553223335
oe:player:4e09acc2529add19ff0686b1341e3d0,2055.499072163349
oe:player:574e8583f71bb54162df1c1aadde2f2,2000.842264622533
oe:player:f87d750c60300d4b460fe8aba346fa1,1908.8003457164752
oe:player:ae4e4363d4138a6775f793c502e96fb,1922.1817127155277
oe:player:5ae7fb3197b6fd8c723c7766a5680e2,1828.668748131517
oe:player:b350549bd4258634bc65ac9353654d8,1918.4910208319006
